dataset,pooling,learning_rate,feature_dim,n_seeds,train_accuracy_mean,train_accuracy_std,train_f1_score_mean,train_f1_score_std,train_auc_mean,train_auc_std,train_precision_mean,train_precision_std,train_recall_mean,train_recall_std,test_accuracy_mean,test_accuracy_std,test_f1_score_mean,test_f1_score_std,test_auc_mean,test_auc_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std
panda-patches_512_preset-features_UNI,attention,0.000100,64,5,0.978392,0.007875,0.984996,0.005537,0.997258,0.001249,0.995272,0.000937,0.974976,0.010721,0.950836,0.003468,0.965239,0.002474,0.988092,0.001312,0.987268,0.002844,0.944179,0.003641
panda-patches_512_preset-features_UNI,attention,0.000100,128,5,0.978109,0.004806,0.984827,0.003351,0.997527,0.000775,0.994561,0.002479,0.975287,0.004727,0.949721,0.003236,0.964470,0.002359,0.987331,0.001315,0.985870,0.005067,0.944025,0.006465
panda-patches_512_preset-features_UNI,attention,0.001000,64,5,0.958968,0.006227,0.971276,0.004514,0.991461,0.001475,0.990579,0.000876,0.952753,0.009390,0.944928,0.003748,0.960911,0.002785,0.984456,0.001888,0.986681,0.001184,0.936469,0.005576
panda-patches_512_preset-features_UNI,attention,0.001000,128,5,0.958628,0.003254,0.971101,0.002388,0.990334,0.001017,0.988561,0.001677,0.954271,0.006060,0.947269,0.004964,0.962631,0.003641,0.983602,0.001794,0.986747,0.003889,0.939707,0.007775
panda-patches_512_preset-features_UNI,max,0.000100,64,5,0.982986,0.008752,0.988194,0.006164,0.997108,0.002563,0.996912,0.001405,0.979685,0.011907,0.949387,0.003642,0.964163,0.002647,0.981985,0.001810,0.987553,0.001932,0.941866,0.004613
panda-patches_512_preset-features_UNI,max,0.000100,128,5,0.981908,0.006951,0.987452,0.004839,0.995631,0.002336,0.997135,0.001695,0.977972,0.007947,0.948495,0.003043,0.963470,0.002215,0.979651,0.003552,0.988656,0.003262,0.939553,0.004581
panda-patches_512_preset-features_UNI,max,0.001000,64,5,0.949043,0.008191,0.964129,0.005921,0.983306,0.002233,0.989083,0.003841,0.940455,0.010652,0.932219,0.007079,0.951363,0.005323,0.971633,0.002534,0.988048,0.002626,0.917348,0.009636
panda-patches_512_preset-features_UNI,max,0.001000,128,5,0.951397,0.005538,0.965798,0.004005,0.986371,0.004084,0.990710,0.001520,0.942129,0.007195,0.934002,0.006719,0.952898,0.005213,0.974124,0.002274,0.983641,0.003773,0.924133,0.013023
panda-patches_512_preset-features_UNI,mean,0.000100,64,5,0.917964,0.003181,0.941321,0.002575,0.978372,0.001292,0.982790,0.002825,0.903250,0.007090,0.889521,0.007240,0.918911,0.006001,0.962404,0.001149,0.978450,0.003597,0.866307,0.012769
panda-patches_512_preset-features_UNI,mean,0.000100,128,5,0.915242,0.010075,0.939288,0.007762,0.977025,0.002276,0.981412,0.001794,0.900759,0.015732,0.882609,0.009795,0.913130,0.008231,0.960508,0.001972,0.981022,0.007084,0.854279,0.018736
panda-patches_512_preset-features_UNI,mean,0.001000,64,5,0.914958,0.009695,0.939192,0.007379,0.975336,0.004523,0.979636,0.001658,0.902043,0.013974,0.881271,0.011211,0.911932,0.009446,0.960127,0.003908,0.982278,0.003925,0.851195,0.018624
panda-patches_512_preset-features_UNI,mean,0.001000,128,5,0.907756,0.006468,0.933848,0.005067,0.973222,0.002771,0.977549,0.002446,0.893948,0.010349,0.875920,0.011263,0.908086,0.009832,0.957101,0.004216,0.976473,0.012814,0.849190,0.025118
