dataset,pooling,learning_rate,feature_dim,seed,trained_epochs,train_loss,train_accuracy,train_f1_score,train_auc,train_precision,train_recall,test_loss,test_accuracy,test_f1_score,test_auc,test_precision,test_recall
panda-patches_512_preset-features_UNI,attention,0.001,64,0,50,,0.9560470721678719,0.9691910157026437,0.9916241241653404,0.9904529758277473,0.948822728157229,,0.9386845039018952,0.9562450278440732,0.9830556197632984,0.9876746096959738,0.9267540478026214
panda-patches_512_preset-features_UNI,attention,0.001,64,1,50,,0.9642705231816249,0.9751233958538993,0.9926004819416256,0.9895812462432378,0.9610819225530259,,0.9442586399108138,0.9604743083003953,0.9854981857218872,0.9854014598540146,0.9367771781033153
panda-patches_512_preset-features_UNI,attention,0.001,64,2,50,,0.9652630086488019,0.9758215730780618,0.9931214738117328,0.9899879855826993,0.9620548744892002,,0.947603121516165,0.9628458498023715,0.9862079182884508,0.9878345498783455,0.9390902081727063
panda-patches_512_preset-features_UNI,attention,0.001,64,3,50,,0.9500921593648093,0.9648211073355987,0.9896409085520748,0.991781384836655,0.9392877991827204,,0.9464882943143813,0.9621152328334649,0.9818665268403016,0.9854486661277284,0.9398612181958366
panda-patches_512_preset-features_UNI,attention,0.001,64,4,50,,0.9591663122075712,0.9714229013693193,0.9903169932308166,0.9910913140311804,0.9525199455146915,,0.947603121516165,0.9628751974723538,0.9856517671953076,0.9870445344129555,0.9398612181958366
panda-patches_512_preset-features_UNI,attention,0.001,128,0,50,,0.9570395576350489,0.9699732434842929,0.9897779554914649,0.9882875605815832,0.9523253551274568,,0.9537346711259754,0.9674126423243031,0.9843641649433997,0.9856,0.9498843484965305
panda-patches_512_preset-features_UNI,attention,0.001,128,1,50,,0.9593080958457394,0.9716150726931065,0.990782627490762,0.9879324215607401,0.9558279820976844,,0.9437012263099219,0.9599365331217771,0.9855253339621384,0.988562091503268,0.9329221279876638
panda-patches_512_preset-features_UNI,attention,0.001,128,2,50,,0.9605841485892528,0.9725242142715952,0.9910930164417695,0.9881502309700743,0.9573847051955633,,0.9442586399108138,0.9602543720190779,0.983545839415832,0.9909762100082035,0.9313801079414032
panda-patches_512_preset-features_UNI,attention,0.001,128,3,50,,0.9622855522472706,0.9737724314730822,0.991201291657237,0.9870077953228064,0.960887332165791,,0.9431438127090301,0.9598425196850394,0.9806844148933694,0.9806918744971842,0.9398612181958366
panda-patches_512_preset-features_UNI,attention,0.001,128,4,50,,0.9539203175953495,0.9676198067151539,0.9888175594136098,0.9914250714577378,0.9449309204125316,,0.9515050167224081,0.9657075285770595,0.9838925612270384,0.9879032258064516,0.9444872783346183
panda-patches_512_preset-features_UNI,attention,0.0001,64,0,50,,0.9785906706366085,0.9851421824264489,0.997830429015887,0.9964171974522293,0.9741194784977623,,0.9531772575250836,0.96700706991359,0.9868517194144046,0.9855884707766213,0.9491133384734002
panda-patches_512_preset-features_UNI,attention,0.0001,64,1,50,,0.9892244434992202,0.9925824712082764,0.9987459900045201,0.9956921871940474,0.989492119089317,,0.955406911928651,0.9684542586750788,0.9896029996478486,0.9911218724778047,0.9468003084040093
panda-patches_512_preset-features_UNI,attention,0.0001,64,2,50,,0.9685240323266695,0.978019801980198,0.9954029291851625,0.9955654101995566,0.9610819225530259,,0.9503901895206243,0.964836033188463,0.9882161124030227,0.9894651539708266,0.9414032382420972
panda-patches_512_preset-features_UNI,attention,0.0001,64,3,50,,0.9818516943144762,0.9874558996471972,0.9975003166922969,0.9946692991115499,0.9803463708892781,,0.9481605351170569,0.9633714060653801,0.9891143313233294,0.9847020933977456,0.9429452582883577
panda-patches_512_preset-features_UNI,attention,0.0001,64,4,50,,0.9737700269388913,0.981778784595686,0.996812133656146,0.9940167530913442,0.969838489978595,,0.9470457079152731,0.9625246548323472,0.9866771950127907,0.9854604200323102,0.9406322282189669
panda-patches_512_preset-features_UNI,attention,0.0001,128,0,50,,0.9821352615908124,0.9876591576885406,0.997818533992216,0.9942812068625517,0.9811247324382175,,0.9520624303232998,0.9661417322834646,0.9877507139987185,0.9871279163314561,0.9460292983808789
panda-patches_512_preset-features_UNI,attention,0.0001,128,1,50,,0.9818516943144762,0.9874213836477987,0.9983370858574675,0.9974190986698431,0.9776221054679899,,0.9526198439241917,0.9667318982387475,0.9867850123097879,0.9817170111287759,0.9521973785659213
panda-patches_512_preset-features_UNI,attention,0.0001,128,2,50,,0.9781653197221041,0.9848574237954769,0.9975022991962421,0.9954283442655536,0.974508659272232,,0.9509476031215162,0.9653543307086614,0.9890103923463681,0.9863234111021721,0.9452582883577486
panda-patches_512_preset-features_UNI,attention,0.0001,128,3,50,,0.9781653197221041,0.984863377236092,0.9977230688022403,0.9950347567030785,0.9748978400467017,,0.9448160535117057,0.9610696028313016,0.9854562998654998,0.9807383627608347,0.9421742482652274
panda-patches_512_preset-features_UNI,attention,0.0001,128,4,50,,0.9702254359846874,0.9793347766187759,0.9962523050420871,0.9906430420067689,0.9682817668807161,,0.9481605351170569,0.9630512514898689,0.9876545316618291,0.9934426229508196,0.9344641480339244
panda-patches_512_preset-features_UNI,mean,0.001,64,0,50,,0.9140791152700979,0.9385769308737076,0.9752940358351313,0.9794795853606939,0.9009534928974509,,0.8918617614269788,0.9205569205569205,0.9623166912035047,0.9816593886462882,0.866615265998458
panda-patches_512_preset-features_UNI,mean,0.001,64,1,50,,0.9225861335601871,0.9449263667540851,0.9800896620450942,0.9809424083769633,0.9114613738081339,,0.8857302118171684,0.915603128859613,0.9624190788524516,0.9823321554770318,0.8573631457208943
panda-patches_512_preset-features_UNI,mean,0.001,64,2,50,,0.9067063660853537,0.9330484330484331,0.9722625331357743,0.9778204307954788,0.8921969254718817,,0.8623188405797102,0.8958245466048081,0.9583654587509638,0.9888268156424581,0.8188126445643793
panda-patches_512_preset-features_UNI,mean,0.001,64,3,50,,0.9045796115128314,0.931150895140665,0.9695960144960689,0.981665228645384,0.8855808523058961,,0.8818283166109253,0.9127572016460905,0.9540636261671804,0.9788172992056487,0.8550501156515035
