dataset,pooling,learning_rate,feature_dim,seed,trained_epochs,train_loss,train_accuracy,train_f1_score,train_auc,train_precision,train_recall,test_loss,test_accuracy,test_f1_score,test_auc,test_precision,test_recall
rsna-features_resnet18,attention,0.001,64,0,50,,0.84375,0.8085758039816233,0.9134351667215198,0.8148148148148148,0.8024316109422492,,0.8266666666666667,0.8266666666666667,0.88497150997151,0.7948717948717948,0.8611111111111112
rsna-features_resnet18,attention,0.001,64,1,50,,0.8375,0.811046511627907,0.9174878516252686,0.7771587743732591,0.8480243161094225,,0.82,0.8137931034482758,0.8783831908831911,0.8082191780821918,0.8194444444444444
rsna-features_resnet18,attention,0.001,64,2,50,,0.86125,0.8350668647845468,0.9299427590523945,0.8168604651162791,0.8541033434650456,,0.84,0.8421052631578947,0.8919159544159544,0.8,0.8888888888888888
rsna-features_resnet18,attention,0.001,64,3,50,,0.83375,0.8052708638360175,0.902322549835763,0.7768361581920904,0.8358662613981763,,0.8133333333333334,0.8082191780821918,0.868411680911681,0.7972972972972973,0.8194444444444444
rsna-features_resnet18,attention,0.001,64,4,50,,0.87875,0.8491446345256609,0.9390806600455606,0.8694267515923567,0.8297872340425532,,0.82,0.8085106382978723,0.8746438746438746,0.8260869565217391,0.7916666666666666
rsna-features_resnet18,attention,0.001,128,0,50,,0.83125,0.7982062780269058,0.9101697868468435,0.7852941176470588,0.8115501519756839,,0.8066666666666666,0.7943262411347518,0.8657407407407406,0.8115942028985508,0.7777777777777778
rsna-features_resnet18,attention,0.001,128,1,50,,0.8525,0.8184615384615385,0.9174362250659852,0.8286604361370716,0.8085106382978723,,0.8333333333333334,0.8299319727891157,0.8831908831908831,0.8133333333333334,0.8472222222222222
rsna-features_resnet18,attention,0.001,128,2,50,,0.8425,0.8163265306122449,0.9143644447886214,0.7843137254901961,0.851063829787234,,0.8,0.7916666666666666,0.8767806267806267,0.7916666666666666,0.7916666666666666
rsna-features_resnet18,attention,0.001,128,3,50,,0.85625,0.8194662480376766,0.9139449789944436,0.8474025974025974,0.7933130699088146,,0.8133333333333334,0.8108108108108109,0.8803418803418803,0.7894736842105263,0.8333333333333334
rsna-features_resnet18,attention,0.001,128,4,50,,0.8175,0.7877906976744186,0.8968307745919889,0.754874651810585,0.8237082066869301,,0.8,0.8,0.8773148148148148,0.7692307692307693,0.8333333333333334
rsna-features_resnet18,attention,0.0001,64,0,50,,0.9075,0.8871951219512195,0.959808723597855,0.8899082568807339,0.8844984802431611,,0.8266666666666667,0.8266666666666667,0.8847934472934473,0.7948717948717948,0.8611111111111112
