dataset,pooling,learning_rate,feature_dim,seed,test_loss,test_accuracy,test_f1_score,test_auc_roc,test_precision,test_recall
rsna-features_resnet18,attention,0.001,64,0,,0.8266666666666667,0.8243243243243243,,0.8026315789473685,0.8472222222222222
rsna-features_resnet18,attention,0.001,64,1,,0.8,0.7887323943661971,,0.8,0.7777777777777778
rsna-features_resnet18,attention,0.001,64,2,,0.8,0.7794117647058824,,0.828125,0.7361111111111112
rsna-features_resnet18,attention,0.001,64,3,,0.8266666666666667,0.8169014084507042,,0.8285714285714286,0.8055555555555556
rsna-features_resnet18,attention,0.001,64,4,,0.8133333333333334,0.8028169014084507,,0.8142857142857143,0.7916666666666666
rsna-features_resnet18,attention,0.001,128,0,,0.82,0.8137931034482758,,0.8082191780821918,0.8194444444444444
rsna-features_resnet18,attention,0.001,128,1,,0.7866666666666666,0.7866666666666666,,0.7564102564102564,0.8194444444444444
rsna-features_resnet18,attention,0.001,128,2,,0.7866666666666666,0.7922077922077922,,0.7439024390243902,0.8472222222222222
rsna-features_resnet18,attention,0.001,128,3,,0.8333333333333334,0.8344370860927153,,0.7974683544303798,0.875
rsna-features_resnet18,attention,0.001,128,4,,0.8,0.7945205479452054,,0.7837837837837838,0.8055555555555556
rsna-features_resnet18,attention,0.0001,64,0,,0.8266666666666667,0.8194444444444444,,0.8194444444444444,0.8194444444444444
rsna-features_resnet18,attention,0.0001,64,1,,0.7866666666666666,0.7808219178082192,,0.7702702702702703,0.7916666666666666
rsna-features_resnet18,attention,0.0001,64,2,,0.8133333333333334,0.7777777777777778,,0.9074074074074074,0.6805555555555556
rsna-features_resnet18,attention,0.0001,64,3,,0.82,0.8029197080291971,,0.8461538461538461,0.7638888888888888
rsna-features_resnet18,attention,0.0001,64,4,,0.8133333333333334,0.7846153846153846,,0.8793103448275862,0.7083333333333334
rsna-features_resnet18,attention,0.0001,128,0,,0.8466666666666667,0.8345323741007195,,0.8656716417910447,0.8055555555555556
rsna-features_resnet18,attention,0.0001,128,1,,0.7933333333333333,0.7801418439716312,,0.7971014492753623,0.7638888888888888
rsna-features_resnet18,attention,0.0001,128,2,,0.8066666666666666,0.8129032258064516,,0.7590361445783133,0.875
rsna-features_resnet18,attention,0.0001,128,3,,0.82,0.8280254777070064,,0.7647058823529411,0.9027777777777778
rsna-features_resnet18,attention,0.0001,128,4,,0.8133333333333334,0.7910447761194029,,0.8548387096774194,0.7361111111111112
rsna-features_resnet18,mean,0.001,64,0,,0.8333333333333334,0.8175182481751825,,0.8615384615384616,0.7777777777777778
rsna-features_resnet18,mean,0.001,64,1,,0.84,0.8208955223880597,,0.8870967741935484,0.7638888888888888
rsna-features_resnet18,mean,0.001,64,2,,0.84,0.8153846153846154,,0.9137931034482759,0.7361111111111112
rsna-features_resnet18,mean,0.001,64,3,,0.86,0.8571428571428571,,0.84,0.875
rsna-features_resnet18,mean,0.001,64,4,,0.86,0.8467153284671532,,0.8923076923076924,0.8055555555555556
rsna-features_resnet18,mean,0.001,128,0,,0.84,0.8181818181818182,,0.9,0.75
rsna-features_resnet18,mean,0.001,128,1,,0.84,0.8356164383561644,,0.8243243243243243,0.8472222222222222
rsna-features_resnet18,mean,0.001,128,2,,0.82,0.7938931297709924,,0.8813559322033898,0.7222222222222222
rsna-features_resnet18,mean,0.001,128,3,,0.8533333333333334,0.8533333333333334,,0.8205128205128205,0.8888888888888888
rsna-features_resnet18,mean,0.001,128,4,,0.86,0.8489208633093526,,0.8805970149253731,0.8194444444444444
rsna-features_resnet18,mean,0.0001,64,0,,0.84,0.8285714285714286,,0.8529411764705882,0.8055555555555556
rsna-features_resnet18,mean,0.0001,64,1,,0.8466666666666667,0.8435374149659864,,0.8266666666666667,0.8611111111111112
rsna-features_resnet18,mean,0.0001,64,2,,0.84,0.8285714285714286,,0.8529411764705882,0.8055555555555556
rsna-features_resnet18,mean,0.0001,64,3,,0.8533333333333334,0.8533333333333334,,0.8205128205128205,0.8888888888888888
rsna-features_resnet18,mean,0.0001,64,4,,0.8533333333333334,0.8382352941176471,,0.890625,0.7916666666666666
rsna-features_resnet18,mean,0.0001,128,0,,0.8466666666666667,0.8456375838926175,,0.8181818181818182,0.875
rsna-features_resnet18,mean,0.0001,128,1,,0.86,0.8531468531468531,,0.8591549295774648,0.8472222222222222
rsna-features_resnet18,mean,0.0001,128,2,,0.8266666666666667,0.8169014084507042,,0.8285714285714286,0.8055555555555556
rsna-features_resnet18,mean,0.0001,128,3,,0.8533333333333334,0.8533333333333334,,0.8205128205128205,0.8888888888888888
rsna-features_resnet18,mean,0.0001,128,4,,0.8533333333333334,0.8450704225352113,,0.8571428571428571,0.8333333333333334
rsna-features_resnet18,max,0.001,64,0,,0.8666666666666667,0.8591549295774648,,0.8714285714285714,0.8472222222222222
rsna-features_resnet18,max,0.001,64,1,,0.8,0.7945205479452054,,0.7837837837837838,0.8055555555555556
rsna-features_resnet18,max,0.001,64,2,,0.8,0.8148148148148148,,0.7333333333333333,0.9166666666666666
rsna-features_resnet18,max,0.001,64,3,,0.8266666666666667,0.8311688311688312,,0.7804878048780488,0.8888888888888888
rsna-features_resnet18,max,0.001,64,4,,0.7533333333333333,0.7338129496402878,,0.7611940298507462,0.7083333333333334
rsna-features_resnet18,max,0.001,128,0,,0.8066666666666666,0.8027210884353742,,0.7866666666666666,0.8194444444444444
rsna-features_resnet18,max,0.001,128,1,,0.84,0.8481012658227848,,0.7790697674418605,0.9305555555555556
rsna-features_resnet18,max,0.001,128,2,,0.8066666666666666,0.7943262411347518,,0.8115942028985508,0.7777777777777778
rsna-features_resnet18,max,0.001,128,3,,0.7866666666666666,0.8024691358024691,,0.7222222222222222,0.9027777777777778
rsna-features_resnet18,max,0.001,128,4,,0.82,0.8,,0.8571428571428571,0.75
rsna-features_resnet18,max,0.0001,64,0,,0.8533333333333334,0.8428571428571429,,0.8676470588235294,0.8194444444444444
rsna-features_resnet18,max,0.0001,64,1,,0.8666666666666667,0.8591549295774648,,0.8714285714285714,0.8472222222222222
rsna-features_resnet18,max,0.0001,64,2,,0.8333333333333334,0.8299319727891157,,0.8133333333333334,0.8472222222222222
rsna-features_resnet18,max,0.0001,64,3,,0.8333333333333334,0.8148148148148148,,0.873015873015873,0.7638888888888888
rsna-features_resnet18,max,0.0001,64,4,,0.84,0.8208955223880597,,0.8870967741935484,0.7638888888888888
rsna-features_resnet18,max,0.0001,128,0,,0.8466666666666667,0.8345323741007195,,0.8656716417910447,0.8055555555555556
rsna-features_resnet18,max,0.0001,128,1,,0.8466666666666667,0.8270676691729323,,0.9016393442622951,0.7638888888888888
rsna-features_resnet18,max,0.0001,128,2,,0.8133333333333334,0.8028169014084507,,0.8142857142857143,0.7916666666666666
rsna-features_resnet18,max,0.0001,128,3,,0.8466666666666667,0.8368794326241135,,0.855072463768116,0.8194444444444444
