dataset,pooling,learning_rate,feature_dim,seed,test_loss,test_accuracy,test_f1_score,test_auc_roc,test_precision,test_recall
panda-patches_512_preset-features_UNI,attention,0.001,64,0,,0.9442586399108138,0.9602543720190779,,0.9909762100082035,0.9313801079414032
panda-patches_512_preset-features_UNI,attention,0.001,64,1,,0.947603121516165,0.9629044988161011,,0.9862570735650767,0.9406322282189669
panda-patches_512_preset-features_UNI,attention,0.001,64,2,,0.9492753623188406,0.9642154935116005,,0.9839486356340289,0.9452582883577486
panda-patches_512_preset-features_UNI,attention,0.001,64,3,,0.9559643255295429,0.9689831173930114,,0.9872,0.9514263685427911
panda-patches_512_preset-features_UNI,attention,0.001,64,4,,0.9414715719063546,0.9585471772601658,,0.982200647249191,0.936006168080185
panda-patches_512_preset-features_UNI,attention,0.001,128,0,,0.9358974358974359,0.9541284403669725,,0.9884297520661157,0.9221279876638396
panda-patches_512_preset-features_UNI,attention,0.001,128,1,,0.947603121516165,0.9628164556962026,,0.9886271324126726,0.938319198149576
panda-patches_512_preset-features_UNI,attention,0.001,128,2,,0.9470457079152731,0.9622566547477155,,0.9926229508196721,0.9336931380107941
panda-patches_512_preset-features_UNI,attention,0.001,128,3,,0.9319955406911928,0.9510825982357658,,0.9908103592314118,0.9144178874325366
panda-patches_512_preset-features_UNI,attention,0.001,128,4,,0.939799331103679,0.9569034317637669,,0.9917287014061208,0.9244410177332305
panda-patches_512_preset-features_UNI,attention,0.0001,64,0,,0.9503901895206243,0.9649744195198741,,0.9855305466237942,0.9452582883577486
panda-patches_512_preset-features_UNI,attention,0.0001,64,1,,0.9503901895206243,0.9648637978681406,,0.988673139158576,0.9421742482652274
panda-patches_512_preset-features_UNI,attention,0.0001,64,2,,0.9542920847268673,0.9678178963893249,,0.9856115107913669,0.9506553585196608
panda-patches_512_preset-features_UNI,attention,0.0001,64,3,,0.9537346711259754,0.9674637397099177,,0.9840510366826156,0.9514263685427911
panda-patches_512_preset-features_UNI,attention,0.0001,64,4,,0.9414715719063546,0.9580838323353293,,0.9933774834437086,0.9252120277563608
panda-patches_512_preset-features_UNI,attention,0.0001,128,0,,0.9498327759197325,0.9644268774703557,,0.9894566098945661,0.9406322282189669
panda-patches_512_preset-features_UNI,attention,0.0001,128,1,,0.9531772575250836,0.96700706991359,,0.9855884707766213,0.9491133384734002
panda-patches_512_preset-features_UNI,attention,0.0001,128,2,,0.9431438127090301,0.9595238095238096,,0.9885527391659853,0.9321511179645335
panda-patches_512_preset-features_UNI,attention,0.0001,128,3,,0.9448160535117057,0.9607609988109393,,0.9885807504078303,0.9344641480339244
panda-patches_512_preset-features_UNI,attention,0.0001,128,4,,0.9509476031215162,0.9653270291568163,,0.9871071716357775,0.9444872783346183
panda-patches_512_preset-features_UNI,mean,0.001,64,0,,0.8857302118171684,0.9169031211998379,,0.9666666666666667,0.8720123361603701
panda-patches_512_preset-features_UNI,mean,0.001,64,1,,0.8528428093645485,0.8888888888888888,,0.9786839666357738,0.8141865844255975
