dataset,pooling,learning_rate,feature_dim,test_loss_mean,test_accuracy_mean,test_f1_score_mean,test_auc_roc_mean,test_precision_mean,test_recall_mean,test_loss_std,test_accuracy_std,test_f1_score_std,test_auc_roc_std,test_precision_std,test_recall_std
rsna-features_resnet18,attention,0.0001,64,,0.8119999999999999,0.7931158465350047,,0.8445172626207109,0.7527777777777778,,0.015202339001321851,0.017663278699479004,,0.053173464648246925,0.057601225981465914
rsna-features_resnet18,attention,0.0001,128,,0.8160000000000001,0.8093295395410424,,0.8082707655350161,0.8166666666666667,,0.019776529298921795,0.02336528596716467,,0.0497748294566041,0.07109157717816515
rsna-features_resnet18,attention,0.001,64,,0.8133333333333332,0.8024373586511118,,0.8147227443609022,0.7916666666666667,,0.013333333333333308,0.018750973829854137,,0.013551319017342424,0.040492721491981236
rsna-features_resnet18,attention,0.001,128,,0.8053333333333332,0.8043250392721311,,0.7779568023462005,0.8333333333333334,,0.020763215336529924,0.01969234275448235,,0.02717728401449225,0.02777777777777777
rsna-features_resnet18,max,0.0001,64,,0.8453333333333333,0.8335308764853195,,0.8625043221589712,0.8083333333333332,,0.014452988925785872,0.017793724924387706,,0.0284567984232598,0.042127085800286415
rsna-features_resnet18,max,0.0001,128,,0.8373333333333333,0.8262456700190663,,0.8500004994881006,0.8055555555555556,,0.014605934866804433,0.013646593723422171,,0.037275684997811066,0.03105649968749712
rsna-features_resnet18,max,0.001,64,,0.8093333333333333,0.8066944146293208,,0.7860455046548968,0.8333333333333334,,0.04152643067305985,0.04710879578628794,,0.051774608412718526,0.08157875086438003
rsna-features_resnet18,max,0.001,128,,0.8119999999999999,0.809523546239076,,0.7913391432744314,0.836111111111111,,0.0196638416050035,0.021828505459949927,,0.04921868191033404,0.07819826811255137
rsna-features_resnet18,mean,0.0001,64,,0.8466666666666667,0.8384497799119648,,0.8487373680241326,0.8305555555555555,,0.0066666666666667235,0.010519194924752466,,0.02772029339709204,0.042127085800286394
rsna-features_resnet18,mean,0.0001,128,,0.8480000000000001,0.842817920271744,,0.8367127707972779,0.85,,0.012823589374447575,0.015016246373064169,,0.019957172683628326,0.03315926773975922
rsna-features_resnet18,mean,0.001,64,,0.8466666666666667,0.8315313143115736,,0.8789472062975957,0.7916666666666667,,0.012472191289246504,0.019083418133922572,,0.02863173005613125,0.05288731323516604
rsna-features_resnet18,mean,0.001,128,,0.8426666666666666,0.8299891165903321,,0.8613580183931816,0.8055555555555556,,0.015347819244295175,0.024379103755076893,,0.0364111348803476,0.06874649261535878
