dataset,n_bags,pooling_type,accuracy_train,accuracy_test,auc_train,auc_test,f1_train,f1_test
SCStandard,50,attention,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000
SCStandard,100,attention,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000
SCStandard,500,attention,1.0000,0.0004,1.0000,0.0008,1.0000,0.0008
SCStandard,1000,attention,0.9984,0.0000,1.0000,0.0000,0.9984,0.0000
MCStandard,50,attention,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000
MCStandard,100,attention,1.0000,0.0320,1.0000,0.0000,1.0000,0.0552
MCStandard,500,attention,0.9000,0.1664,0.9096,0.1048,0.8000,0.1139
MCStandard,1000,attention,1.0000,0.0970,1.0000,0.0000,1.0000,0.1670
FalseFrequency,50,attention,0.7960,0.4840,0.7904,0.3187,0.6701,0.3535
FalseFrequency,100,attention,0.8840,0.3760,0.9722,0.2515,0.8705,0.4493
FalseFrequency,500,attention,0.7176,0.3852,0.8247,0.2484,0.6325,0.3818
FalseFrequency,1000,attention,0.7128,0.3620,0.6783,0.0385,0.6043,0.3912
SCStandard,50,mean,0.9600,0.1280,1.0000,0.0000,0.9580,0.0000
SCStandard,100,mean,0.9940,0.0660,1.0000,0.0000,0.9939,0.0000
SCStandard,500,mean,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000
SCStandard,1000,mean,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000
MCStandard,50,mean,1.0000,0.2720,1.0000,0.1782,1.0000,0.4245
MCStandard,100,mean,1.0000,0.2560,1.0000,0.1658,1.0000,0.4056
MCStandard,500,mean,1.0000,0.2156,1.0000,0.1410,1.0000,0.3546
MCStandard,1000,mean,1.0000,0.2658,1.0000,0.1746,1.0000,0.4199
FalseFrequency,50,mean,0.7680,0.4640,0.9344,0.0269,0.8068,0.6333
FalseFrequency,100,mean,0.8300,0.4760,0.9347,0.0446,0.8504,0.6448
FalseFrequency,500,mean,0.8012,0.3876,0.8945,0.0275,0.7949,0.5570
FalseFrequency,1000,mean,0.7410,0.3224,0.8630,0.0239,0.7197,0.4860
SCStandard,50,max,0.5000,0.5000,0.1219,0.1027,0.0000,0.0000
SCStandard,100,max,0.5000,0.5000,0.1047,0.0958,0.0000,0.0000
SCStandard,500,max,0.5000,0.5000,0.0406,0.0444,0.0000,0.0000
SCStandard,1000,max,0.5000,0.5000,0.0335,0.0278,0.0000,0.0000
MCStandard,50,max,0.5000,0.5000,0.0950,0.0714,0.0000,0.0000
MCStandard,100,max,0.5000,0.5000,0.0828,0.0942,0.0000,0.0000
MCStandard,500,max,0.5000,0.5000,0.0880,0.0807,0.0000,0.0000
MCStandard,1000,max,0.5000,0.5000,0.0902,0.0856,0.0000,0.0000
FalseFrequency,50,max,0.5000,0.5000,0.0000,0.0000,0.0000,0.0000
FalseFrequency,100,max,0.5000,0.5000,0.0000,0.0000,0.0000,0.0000
FalseFrequency,500,max,0.5000,0.5000,0.0000,0.0000,0.0000,0.0000
FalseFrequency,1000,max,0.5000,0.5000,0.0000,0.0000,0.0000,0.0000
